ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"ѕицца, с паперони, на стандартном корже, замороженна€, приготовленна€",274 к ал,"14,38 г","13,13 г","22,69 г"
"ѕицца, с сыром, замороженна€, приготовленна€",268 к ал,"10,36 г","12,28 г","26,82 г"
"ѕицца, с сыром, на растущем корже, замороженна€, приготовленна€",260 к ал,"12,37 г","8,78 г","30,41 г"
"—эндвич с сосиской ""Sausage Griddle Cake Sandwich""",318 к ал,"8,41 г","17,76 г","30,25 г"
"—эндвич с €йцом, сыром и беконом ""Griddle Cak""",272 к ал,"12,03 г","13,19 г","25,39 г"
"—эндвич с €йцом, сыром и сосиской ""Griddle Cak""",291 к ал,"10,77 г","17,73 г","21,44 г"
"‘аст фуд, жареный цыпленок, бедрышки, м€со с кожицей, в панировке",274 к ал,"19,23 г","18,07 г","8,58 г"
"‘аст фуд, жареный цыпленок, бедрышки, только м€со, без кожицы и без панировки",178 к ал,"23,21 г","9,41 г","0,24 г"
"‘аст фуд, жареный цыпленок, голень, м€со с кожицей, в панировке",267 к ал,"21,13 г","16,92 г","7,09 г"
"‘аст фуд, жареный цыпленок, голень, только м€со, без кожицы и без панировки",172 к ал,"26,24 г","7,41 г",0 г
"‘аст фуд, жареный цыпленок, грудки, только м€со, без кожицы и без панировки",153 к ал,"27,93 г","4,54 г",0 г
"‘аст фуд, жареный цыпленок, кожа в панировке",398 к ал,"14,11 г","29,22 г","19,26 г"
"‘аст фуд, жареный цыпленок, крылышки, м€со с кожицей, в панировке",310 к ал,"21,14 г","20,09 г","11,09 г"
"‘аст фуд, жареный цыпленок, крылышки, только м€со, без кожицы и без панировки",215 к ал,"28,77 г","10,2 г","2,13 г"
"‘аст фуд, клаб сэндвич (трехслойный), с курицей-гриль, беконом, томатами, сыром, салатом и майонезом",220 к ал,"17,19 г","8,05 г","18,67 г"
"‘аст фуд, клаб сэндвич (трехслойный), с хруст€щей курицей, беконом, томатами, сыром, салатом и майонезом",257 к ал,"15,38 г","11,76 г","21,41 г"
"‘аст-фуд, английский кекс, с сыром и сосиской",338 к ал,"13,28 г","20,67 г","24,78 г"
"‘аст-фуд, английский кекс, с €йцом, сыром и канадским беконом",228 к ал,"13,64 г","9,66 г","21,27 г"
"‘аст-фуд, английский кекс, с €йцом, сыром и сосиской",286 к ал,"13,38 г","18,1 г","17,24 г"
"‘аст-фуд, бисквит с ветчиной",342 к ал,"11,85 г","16,3 г","38,05 г"
"‘аст-фуд, бисквит с сосиской",371 к ал,"9,67 г","24,42 г","29,59 г"
"‘аст-фуд, бисквит с €йцом и беконом",305 к ал,"11,33 г","20,73 г","18,56 г"
"‘аст-фуд, бисквит с €йцом и ветчиной",233 к ал,"10,64 г","14,08 г","15,97 г"
"‘аст-фуд, бисквит с €йцом и сосиской",312 к ал,"11,13 г","20,77 г","20,85 г"
"‘аст-фуд, бисквит с €йцом, сыром и сосиской",301 к ал,"12,01 г","17,48 г","24,24 г"
"‘аст-фуд, бублик с отбивной, €йцом и сыром, приправленный",295 к ал,"12,98 г","16,97 г","22,44 г"
"‘аст-фуд, бублик со стейком, €йцом и сыром, приправленный",282 к ал,"15,95 г","14,07 г","22,79 г"
"‘аст-фуд, буррито с бобами",206 к ал,"6,48 г","6,22 г","32,92 г"
"‘аст-фуд, буррито с бобами и м€сом",191 к ал,"11,52 г","7,47 г","16,52 г"
"‘аст-фуд, буррито с бобами и сыром",205 к ал,"7,35 г","6,05 г","27,03 г"
"‘аст-фуд, буррито с бобами, сыром и гов€диной",180 к ал,"7,03 г","6,8 г","19,67 г"
"‘аст-фуд, гамбургер, большой, с одной котлетой, приправленный",256 к ал,"15,68 г","11,6 г","21,04 г"
"‘аст-фуд, гамбургер, двойной, с большой котлетой, овощами и майонезом, приправленный",252 к ал,"13,94 г","15,66 г","12,34 г"
"‘аст-фуд, гамбургер, двойной, с одной стандартной котлетой, с приправами и фирменным соусом",259 к ал,"12,17 г","13,3 г","21,29 г"
"‘аст-фуд, гамбургер, с одной большой котлетой, овощами и майонезом, приправленный",226 к ал,"11,34 г","12,37 г","15,83 г"
"‘аст-фуд, гамбургер, с одной стандартной котлетой, неприправленный",297 к ал,"16,52 г","12,01 г","29,8 г"
"‘аст-фуд, гамбургер, с одной стандартной котлетой, приправленный",263 к ал,"13,3 г","10,18 г","27,77 г"
"‘аст-фуд, гренки по-французски",340 к ал,6 г,"17,74 г","39,81 г"
"‘аст-фуд, драники",272 к ал,"2,58 г","17,04 г","26,18 г"
"‘аст-фуд, картошка фри, жаренна€ в растительном масле",312 к ал,"3,43 г","14,73 г","37,64 г"
"‘аст-фуд, картошка-пюре",89 к ал,"1,65 г","2,82 г","13,35 г"
"‘аст-фуд, креветки, обжаренные в панировке",308 к ал,"7,84 г","18,9 г","27,29 г"
"‘аст-фуд, круассан с €йцом, сыром и беконом",289 к ал,"12,92 г","16,4 г","21,5 г"
"‘аст-фуд, круассан с €йцом, сыром и ветчиной",261 к ал,"12,45 г","14,95 г","18,08 г"
"‘аст-фуд, круассан с €йцом, сыром и сосиской",308 к ал,"12,09 г","21,78 г","14,1 г"
"‘аст-фуд, кукурузные оладьи",296 к ал,"6,16 г","13,25 г","37,31 г"
"‘аст-фуд, куриное филе",271 к ал,"19,22 г","13,95 г","16,05 г"
"‘аст-фуд, курица, обжаренна€ в панировке, без костей, неприправленна€",307 к ал,"15,92 г","20,36 г","14,03 г"
"‘аст-фуд, луковые кольца, обжаренные в кл€ре",411 к ал,"3,86 г","25,23 г","40,88 г"
"‘аст-фуд, миниатюрные коричные рулеты",403 к ал,"7,02 г","17,95 г","51,18 г"
"‘аст-фуд, м€гкое ванильное молочное мороженое в рожке",163 к ал,"4,24 г","4,86 г","26,26 г"
"‘аст-фуд, начо с сыром",343 к ал,"4,32 г","21,5 г","31,71 г"
"‘аст-фуд, начо с сыром, бобами, гов€жьим фаршем и перцем",219 к ал,"6,21 г","12,48 г","17,69 г"
"‘аст-фуд, пицца с м€сом и овощами, на стандартном корже, 14 дюймов",244 к ал,"11,02 г","10,9 г","23,18 г"
"‘аст-фуд, пицца с паперони, на стандартном корже, 14 дюймов",282 к ал,"11,74 г","11,91 г","29,68 г"
"‘аст-фуд, пицца с паперони, на толстом корже, 14 дюймов",287 к ал,"11,49 г","12,58 г","29,64 г"
"‘аст-фуд, пицца с сыром, на стандартном корже, 14 дюймов",266 к ал,"11,39 г","9,69 г","31,03 г"
"‘аст-фуд, пицца с сыром, на толстом корже, 14 дюймов",271 к ал,"10,81 г","10,54 г","30,97 г"
"‘аст-фуд, пицца с сыром, на тонком корже, 14 дюймов",302 к ал,"12,85 г","13,95 г","28,7 г"
"‘аст-фуд, пломбир с гор€чей помадкой",180 к ал,"3,57 г","5,46 г","30,17 г"
"‘аст-фуд, пломбир с карамелью",196 к ал,"4,71 г","5,98 г","31,81 г"
"‘аст-фуд, пломбир с клубникой",175 к ал,"4,09 г","5,13 г","29,18 г"
"‘аст-фуд, рыбный сэндвич с соусом тартар",257 к ал,"10,29 г","12,45 г","25,69 г"
"‘аст-фуд, рыбный сэндвич с соусом тартар и сыром",279 к ал,"11,26 г","14,64 г","25,59 г"
"‘аст-фуд, салат из капусты",153 к ал,"0,95 г","9,91 г","12,99 г"
"‘аст-фуд, сэндвич ""—убмарина"" с м€сной нарезкой",213 к ал,"10,52 г","10,04 г","19,23 г"
"‘аст-фуд, сэндвич ""—убмарина"" с ростбифом",190 к ал,"13,26 г",6 г,"20,51 г"
"‘аст-фуд, сэндвич ""—убмарина"" с салатом из тунца",228 к ал,"11,6 г","10,93 г","21,63 г"
"‘аст-фуд, сэндвич с куриным филе, неприправленный",283 к ал,"13,25 г","16,18 г","21,26 г"
"‘аст-фуд, сэндвич с поджаренным куриным филе, латуком, томатами и майонезом",276 к ал,"10,94 г","13,59 г",26 г
"‘аст-фуд, сэндвич с ростбифом, неприправленный",244 к ал,"15,17 г","10,3 г","20,91 г"
"‘аст-фуд, тако",226 к ал,"8,86 г","12,7 г","15,95 г"
"‘аст-фуд, чизбургер, двойной, с большой котлетой, овощами и майонезом, приправленный",253 к ал,"15,5 г","15,63 г","11,32 г"
"‘аст-фуд, чизбургер, двойной, с большой котлетой, приправленный",272 к ал,"16,96 г","16,22 г","13,43 г"
"‘аст-фуд, чизбургер, двойной, со стандартной котлетой, приправленный",282 к ал,"16,24 г","16,18 г","17,07 г"
"‘аст-фуд, чизбургер, двойной, со стандартной котлетой, с приправами и фирменным соусом",261 к ал,"11,94 г","14,1 г","20,13 г"
"‘аст-фуд, чизбургер, с большой котлетой, неприправленный",310 к ал,"17,29 г","15,97 г","22,37 г"
"‘аст-фуд, чизбургер, с большой котлетой, овощами и майонезом, приправленный",268 к ал,"13,69 г","15,8 г","16,63 г"
"‘аст-фуд, чизбургер, с большой котлетой, приправленный",269 к ал,"15,21 г","14,4 г","18,52 г"
"‘аст-фуд, чизбургер, со стандартной котлетой и овощами, приправленный",254 к ал,"13,06 г","11,5 г","23,57 г"
"‘аст-фуд, чизбургер, со стандартной котлетой, неприправленный",308 к ал,"16,51 г","14,72 г","26,03 г"
"‘аст-фуд, чизбургер, со стандартной котлетой, приправленный",270 к ал,"13,49 г","12,9 г","23,56 г"
