ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"ћолочный батончик 1,5% жирности, сладкий",147 к ал,"4,41 г","1,47 г","25,4 г"
"ћолочный коктейль, густой ванильный",112 к ал,"3,86 г","3,03 г","17,75 г"
"ћолочный коктейль, густой шоколадный",119 к ал,"3,05 г","2,7 г","20,85 г"
"ћолочный напиток шоколадный 1,1% жирности с витаминами A и D",64 к ал,"3,46 г","1,11 г","10,05 г"
"ћолочный напиток шоколадный 1,9% жирности, с витаминами A и D",76 к ал,"2,99 г","1,9 г","11,43 г"
"ћолочный напиток шоколадный 1% жирности, со сниженным содержанием сахара",57 к ал,"3,43 г","1,04 г","7,68 г"
"ћолочный напиток шоколадный 3,4% жирности, с витаминами A и D",83 к ал,"3,17 г","3,39 г","9,54 г"
"ћолочный напиток шоколадный обезжиренный, с витаминами A и D",67 к ал,"3,39 г",0 г,"13,46 г"
"ћолочный напиток шоколадный обезжиренный, с добавлением кальци€",78 к ал,"2,99 г","1,9 г","11,43 г"
"ћороженое в вафельном рожке покрытое шоколадом с орехами, 22% жирности",354 к ал,"5,21 г","21,88 г","33,38 г"
"ћороженое в вафельном рожке с арахисом и шоколадным соусом, 9,3% жирности",265 к ал,"5,33 г","9,33 г","30,71 г"
"ћороженое в шоколадной глазури с орехами, 25,8% жирности",303 к ал,"5,62 г","25,84 г","10,79 г"
"ћороженое лЄгкое 3% жирности, с сорбетом",165 к ал,"1,54 г","3,08 г","32,75 г"
ћороженое молочное,132 к ал,"3,7 г","3,5 г","21,3 г"
ћороженое молочное клубничное,123 к ал,"3,8 г","2,8 г","21,6 г"
ћороженое молочное крем-брюле,138 к ал,"3,7 г","3,5 г","22,9 г"
ћороженое молочное ореховое,157 к ал,"5,4 г","6,5 г","20,1 г"
ћороженое молочное с плодами и €годами,124 к ал,"3,2 г","2,8 г","21,2 г"
ћороженое молочное с шоколадной глазурью,231 к ал,"3,2 г",15 г,"20,6 г"
ћороженое молочное шоколадное,133 к ал,"3,6 г","3,7 г","21,2 г"
"ћороженое м€гкое,  шоколадное 13% жирности,",222 к ал,"4,1 г",13 г,"21,5 г"
"ћороженое м€гкое, шоколадное, лЄгкое 3,7% жирности",141 к ал,"3,36 г","3,69 г","23,15 г"
"ћороженое на палочке с хруст€щей глазурью, 25% жирности",358 к ал,"2,11 г","25,26 г","36,02 г"
"ћороженое на палочке с шоколадной глазурью, 24% жирности",331 к ал,"4,1 г","24,1 г","23,7 г"
ћороженое обезжиренное без сахара,133 к ал,"4,41 г",0 г,"21,46 г"
ћороженое пломбир,232 к ал,"3,7 г",15 г,"20,4 г"
ћороженое пломбир в вафельном рожке,254 к ал,3 г,14 г,"27,89 г"
ћороженое пломбир в шоколадной глазури,310 к ал,"3,2 г",24 г,"20,1 г"
ћороженое пломбир клубничный,206 к ал,"3,2 г",12 г,"21,1 г"
ћороженое пломбир крем-брюле,240 к ал,"3,7 г",15 г,"22,4 г"
ћороженое пломбир ореховый,259 к ал,"5,2 г",18 г,"19,9 г"
"ћороженое пломбир, шоколадный",231 к ал,"3,6 г",15 г,"20,4 г"
ћороженое сливочное,183 к ал,"3,7 г",10 г,"19,4 г"
ћороженое сливочное клубничное,165 к ал,"3,8 г",8 г,"20,3 г"
ћороженое сливочное крем-брюле,191 к ал,"3,7 г",10 г,"21,4 г"
ћороженое сливочное ореховое,210 к ал,"5,5 г",13 г,"17,6 г"
ћороженое сливочное с плодами и €годами,166 к ал,"3,2 г",8 г,"20,1 г"
ћороженое сливочное с шоколадной глазурью,271 к ал,"3,2 г",20 г,"19,4 г"
ћороженое сливочное шоколадное,185 к ал,"3,6 г",10 г,20 г
ћороженое сэндвич,237 к ал,"4,29 г","8,57 г","37,14 г"
ћороженое сэндвич с печеньем,240 к ал,"3,7 г","7,4 г","38,4 г"
"ћороженое сэндвич, лЄгкое ванильное 3% жирности",186 к ал,"4,29 г","3,04 г","39,64 г"
"ћороженое сэндвич, лЄгкое ванильное 3% жирности без сахара",200 к ал,"5,71 г","2,86 г","35,76 г"
"Ќапиток кисломолочный  2,5% жирности Ђёбилейныйї",53 к ал,"2,9 г","2,5 г","4,1 г"
"Ќапиток кисломолочный  2,5% жирности Ђёбилейныйї, плодово-€годный",84 к ал,"2,6 г","2,5 г","12,2 г"
"Ќапиток кисломолочный  2,5% жирности, ЂЅифидинї",61 к ал,"3,4 г","2,5 г","5,5 г"
"Ќапиток кисломолочный Ђ—нежокї 2,5% жирности",79 к ал,"2,7 г","2,5 г","10,8 г"
"Ќапиток кисломолочный Ђ“онусї 2,5% жирности",53 к ал,"2,9 г","2,5 г","4,1 г"
"Ќапиток кисломолочный 1% жирности, плодово-€годный",71 к ал,"2,7 г",1 г,"12,2 г"
"Ќапиток кисломолочный 3,2% жирности, ""ёжный""",58 к ал,"2,8 г","3,2 г","3,9 г"
"ќттопки масла, сухие",876 к ал,"0,28 г","99,48 г",0 г
"ѕаста ацидофильна€ 4,0% жирности",143 к ал,"5,5 г",4 г,"20,5 г"
"ѕаста ацидофильна€, сладка€ 8,0% жирности",203 к ал,"6,6 г",8 г,"25,5 г"
"ѕаста молочна€, ацидофильна€ сладка€ нежирна€",81 к ал,"5,5 г","0,2 г","13,5 г"
ѕахта 1% жирности,40 к ал,"3,31 г","1,07 г","4,79 г"
"ѕахта 1% жирности, пастеризованна€",41 к ал,"3,3 г",1 г,"4,7 г"
"ѕахта 1% жирности, сквашенна€",40 к ал,"3,3 г",1 г,"3,8 г"
ѕахта 2% жирности,56 к ал,"4,1 г",2 г,"5,3 г"
"ѕахта 3,3% жирности",62 к ал,"3,21 г","3,31 г","4,88 г"
ѕахта суха€,387 к ал,"34,3 г","5,78 г",49 г
"ѕищева€ добавка дл€ больных диабетом,  жидка€",88 к ал,"4,4 г","3,08 г","9,68 г"
ѕростокваша 1%,40 к ал,3 г,1 г,"4,1 г"
"ѕростокваша 2,5% жирности",53 к ал,"2,9 г","2,5 г","4,1 г"
"ѕростокваша 2,5% жирности, Ђ÷итрусова€ї",76 к ал,"2,6 г","2,5 г","10,1 г"
"ѕростокваша 3,2% жирности",59 к ал,"2,9 г","3,2 г","4,1 г"
"ѕростокваша 4,0% жирности Ђћечниковска€ї",66 к ал,"2,8 г",4 г,"4,1 г"
ѕростокваша обезжиренна€,30 к ал,3 г,"0,05 г","3,8 г"
ѕростокваша цитрусова€ 1%,63 к ал,"2,7 г",1 г,"10,1 г"
"ѕудинг из творога 9%-ного, по 1-334",224 к ал,"13,9 г","9,6 г","20,1 г"
"–€женка 2,5% жирности",54 к ал,"2,9 г","2,5 г","4,2 г"
"–€женка 4,0% жирности",67 к ал,"2,8 г",4 г,"4,2 г"
"–€женка 6,0% жирности",85 к ал,3 г,6 г,"4,1 г"
"–€женка, 1%",40 к ал,3 г,1 г,"4,2 г"
"—ливки 1,4% жирности, с молоком",59 к ал,"2,6 г","1,4 г",9 г
"—ливки 10% жирности, пастеризованные",119 к ал,"2,7 г",10 г,"4,5 г"
—ливки 10% жирности. стерилизованные,119 к ал,"2,7 г",10 г,"4,4 г"
"—ливки 11,5% жирности, с молоком",131 к ал,"3,13 г","11,5 г","4,3 г"
—ливки 19% жирности,195 к ал,"2,96 г","19,1 г","3,66 г"
"—ливки 20% жирности, пастеризованные",207 к ал,"2,5 г",20 г,4 г
"—ливки 25% жирности, стерилизованные",251 к ал,"2,4 г",25 г,"3,9 г"
—ливки 31% жирности,292 к ал,"2,17 г","30,91 г","2,96 г"
"—ливки 35% жирности, пастеризованные",337 к ал,"2,2 г",35 г,"3,2 г"
—ливки 36% жирности,340 к ал,"2,84 г","36,08 г","2,84 г"
"—ливки 5% жирности, с молоком",72 к ал,"3,33 г",5 г,"3,33 г"
"—ливки 8% жирности, пастеризованные",102 к ал,"2,8 г",8 г,"4,5 г"
"—ливки взбитые 13% жирности, замороженные",224 к ал,3 г,"13,1 г","23,6 г"
