ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"ѕапай€, консервированна€ в насыщенном сиропе",206 к ал,"0,14 г","0,55 г","54,33 г"
ѕектин жидкий,11 к ал,0 г,0 г,0 г
ѕерсик,45 к ал,"0,9 г","0,1 г","9,5 г"
ѕерсик,39 к ал,"0,91 г","0,25 г","8,04 г"
ѕерсик сушеный,254 к ал,3 г,"0,4 г","57,7 г"
"ѕерсики ломтиками, замороженные, подслащенные",94 к ал,"0,63 г","0,13 г","22,18 г"
ѕерсики сушеные,239 к ал,"3,61 г","0,76 г","53,13 г"
ѕерсики сушеные (дегидрированные),325 к ал,"4,89 г","1,03 г","83,18 г"
"ѕерсики сушеные (дегидрированные), тушеные",133 к ал,"2,01 г","0,42 г","34,14 г"
"ѕерсики сушеные, тушеные без сахара",77 к ал,"1,16 г","0,25 г","16,99 г"
"ѕерсики сушеные, тушеные с сахаром",103 к ал,"1,06 г","0,22 г","24,2 г"
"ѕерсики, консервированные в водной заливке",24 к ал,"0,44 г","0,06 г","4,81 г"
"ѕерсики, консервированные в легком сиропе",54 к ал,"0,45 г","0,03 г","13,25 г"
"ѕерсики, консервированные в насыщенном сиропе",74 к ал,"0,45 г","0,1 г","18,64 г"
"ѕерсики, консервированные в насыщенном сиропе, приправленные",75 к ал,"0,41 г","0,1 г","18,78 г"
"ѕерсики, консервированные в насыщенном сиропе, сухой продукт",72 к ал,"0,52 г","0,18 г","17,23 г"
"ѕерсики, консервированные в собственном соку",44 к ал,"0,63 г","0,03 г","10,27 г"
"ѕерсики, консервированные в экстра-легком сиропе",42 к ал,"0,4 г","0,1 г","10,1 г"
"ѕерсики, консервированные в экстра-насыщенном сиропе",96 к ал,"0,47 г","0,03 г","25,06 г"
ѕерсиковый компот.  онсервы,88 к ал,"0,3 г","0,1 г","21,6 г"
"ѕитанга (суринамска€ вишн€), сыра€",33 к ал,"0,8 г","0,4 г","7,49 г"
"ѕлантан (овощной банан) жЄлтый, жареный, латинский ресторан",236 к ал,"1,42 г","7,51 г","37,57 г"
"ѕлантан (овощной банан) жЄлтый, приготовленный",155 к ал,"1,52 г","0,16 г","39,17 г"
"ѕлантан (овощной банан) жЄлтый, сырой",122 к ал,"1,3 г","0,35 г","30,19 г"
ѕлантан (овощной банан) зелЄный жареный,309 к ал,"1,5 г","11,81 г","45,67 г"
"ѕлантан (овощной банан) зелЄный, вареный",121 к ал,"1,09 г","0,08 г","26,55 г"
"ѕлантан (овощной банан) зелЄный, сырой",152 к ал,"1,25 г","0,07 г","34,46 г"
"ѕлоды хлебного дерева, сырые",103 к ал,"1,07 г","0,23 г","22,22 г"
ѕомело,38 к ал,"0,76 г","0,04 г","8,62 г"
ѕорошок из плодов баобаба,250 к ал,"3,69 г","0,47 г","35,15 г"
"–амбутан, консервированный в сахарном сиропе",82 к ал,"0,65 г","0,21 г","19,97 г"
–евень,21 к ал,"0,9 г","0,2 г","2,74 г"
"–евень, замороженный, неприготовленный",21 к ал,"0,55 г","0,11 г","3,3 г"
"–евень, замороженный, приготовленный с сахаром",116 к ал,"0,39 г","0,05 г","29,2 г"
"–озелла, сыра€",49 к ал,"0,96 г","0,64 г","11,31 г"
–€бина садова€ красна€,50 к ал,"1,4 г","0,2 г","8,9 г"
–€бина черноплодна€,55 к ал,"1,5 г","0,2 г","10,9 г"
"—аподилла, сыра€",83 к ал,"0,44 г","1,1 г","14,66 г"
"—апота (мармеладный плод), сыра€",124 к ал,"1,45 г","0,46 г","26,7 г"
—аусеп (сметанное €блоко) сырой,66 к ал,1 г,"0,3 г","13,54 г"
"—ахарные €блоки (анона), сырые",94 к ал,"2,06 г","0,29 г","19,24 г"
—лива,46 к ал,"0,7 г","0,28 г","10,02 г"
—лива (садова€),49 к ал,"0,8 г","0,3 г","9,6 г"
"—лива вишненосна€, алыча",34 к ал,"0,2 г","0,1 г","7,9 г"
"—лива дика€, северо-американска€",91 к ал,"0,43 г","0,17 г","15,95 г"
—лива ћирабель (желта€ слива),40 к ал,1 г,0 г,"7,5 г"
"—лива син€€, консервированна€ в водной заливке",41 к ал,"0,39 г","0,01 г","10,13 г"
"—лива син€€, консервированна€ в легком сахарном сиропе",63 к ал,"0,37 г","0,1 г","15,38 г"
"—лива син€€, консервированна€ в насыщенном сахарном сиропе",89 к ал,"0,36 г","0,1 г","22,34 г"
"—лива син€€, консервированна€ в собственном соку",58 к ал,"0,51 г","0,02 г","14,25 г"
"—лива син€€, консервированна€ в экстра-насыщенном сахарном сиропе",101 к ал,"0,36 г","0,1 г","25,31 г"
"—ливы, консервированные в насыщенном сиропе, сухой продукт",89 к ал,"0,44 г","0,14 г","21,62 г"
—мородина бела€,42 к ал,"0,5 г","0,2 г",8 г
—мородина красна€,43 к ал,"0,6 г","0,2 г","7,7 г"
—мородина черна€,44 к ал,1 г,"0,4 г","7,3 г"
"—мородина черна€, европейска€",63 к ал,"1,4 г","0,41 г","15,38 г"
"—мородина, красна€ и бела€",56 к ал,"1,4 г","0,2 г","9,5 г"
"“амаринд, сырой",239 к ал,"2,8 г","0,6 г","57,4 г"
“ерн,54 к ал,"1,5 г","0,3 г","9,4 г"
‘ейхоа,61 к ал,"0,71 г","0,42 г","8,81 г"
‘изалис,53 к ал,"1,9 г","0,7 г","11,2 г"
"‘иник, королевский",277 к ал,"1,81 г","0,15 г","68,27 г"
‘иники,292 к ал,"2,5 г","0,5 г","69,2 г"
‘иники ƒеглет нур,282 к ал,"2,45 г","0,39 г","67,03 г"
"‘руктовый коктейль (персик, ананас, груша, виноград и вишн€), консервированный в водной заливке",32 к ал,"0,42 г","0,05 г","7,51 г"
"‘руктовый коктейль (персик, ананас, груша, виноград и вишн€), консервированный в легком сахарном сиропе",57 к ал,"0,4 г","0,07 г","13,93 г"
"‘руктовый коктейль (персик, ананас, груша, виноград и вишн€), консервированный в насыщенном сахарном сиропе",73 к ал,"0,39 г","0,07 г","17,91 г"
"‘руктовый коктейль (персик, ананас, груша, виноград и вишн€), консервированный в собственном соку",46 к ал,"0,46 г","0,01 г","10,86 г"
"‘руктовый коктейль (персик, ананас, груша, виноград и вишн€), консервированный в экстра-легком сахарном сиропе",45 к ал,"0,4 г","0,07 г","10,53 г"
"‘руктовый коктейль (персик, ананас, груша, виноград и вишн€), консервированный в экстра-насыщенном сахарном сиропе",88 к ал,"0,39 г","0,07 г","21,79 г"
"‘руктовый коктейль, консервированный в насыщенном сахарном сиропе, сухой продукт",70 к ал,"0,47 г","0,1 г","17,1 г"
"‘руктовый салат (ананас, папай€, банан и гуава), консервированный в насыщенном сиропе",86 к ал,"0,41 г","0,1 г","21,06 г"
"‘руктовый салат (персик, груша, абрикос, ананас и вишн€), консервированный в водной заливке",30 к ал,"0,35 г","0,07 г","6,87 г"
"‘руктовый салат (персик, груша, абрикос, ананас и вишн€), консервированный в легком сиропе",58 к ал,"0,34 г","0,07 г","14,14 г"
"‘руктовый салат (персик, груша, абрикос, ананас и вишн€), консервированный в собственном соку",50 к ал,"0,51 г","0,03 г","12,05 г"
"‘руктовый салат (персик, груша, абрикос, ананас и вишн€), консервированный в экстра-насыщенном сахарном сиропе",88 к ал,"0,33 г","0,06 г","21,77 г"
’урма,67 к ал,"0,5 г","0,4 г","15,3 г"
’урма виргинска€ (американска€),127 к ал,"0,8 г","0,4 г","33,5 г"
’урма восточна€,70 к ал,"0,58 г","0,19 г","14,99 г"
"’урма восточна€, сушена€",274 к ал,"1,38 г","0,59 г","58,93 г"
÷укаты,322 к ал,"0,34 г","0,07 г","81,14 г"
„еремуха,46 к ал,0 г,0 г,10 г
"„ерЄмуха виргинска€, северо-американска€",162 к ал,"3,04 г","1,69 г","13,62 г"
„ерешневый компот.  онсервы,87 к ал,"0,5 г","0,2 г","20,6 г"
„ерешн€,63 к ал,"1,06 г","0,2 г","13,91 г"
„ерешн€,52 к ал,"1,1 г","0,4 г","10,6 г"
"„ерешн€, консервированна€ в водной заливке",46 к ал,"0,77 г","0,13 г","10,26 г"
"„ерешн€, консервированна€ в легком сиропе",67 к ал,"0,61 г","0,15 г","15,79 г"
"„ерешн€, консервированна€ в насыщенном сиропе",83 к ал,"0,6 г","0,15 г","19,87 г"
"„ерешн€, консервированна€ в насыщенном сиропе, сухой продукт",83 к ал,"0,73 г","0,21 г","18,77 г"
"„ерешн€, консервированна€ в собственном соку",54 к ал,"0,91 г","0,02 г","12,31 г"
"„ерешн€, консервированна€ в экстра-насыщенном сиропе",102 к ал,"0,59 г","0,15 г","24,73 г"
„еримой€,75 к ал,"1,57 г","0,68 г","14,71 г"
„ерника,57 к ал,"0,74 г","0,33 г","12,09 г"
„ерника,44 к ал,"1,1 г","0,6 г","7,6 г"
„ерника дика€ (јл€ска),61 к ал,"1,22 г","0,76 г","9,71 г"
"„ерника дика€ замороженна€, (јл€ска)",44 к ал,"0,7 г",0 г,"10,4 г"
